Rank,Name,Kills,Deaths,Hits,Shots,HS,Eff,Acc
1,"P A R U S A ! ! ! ! !",208,65,779,4372,46,76%,17%
2,"tintZ",258,145,956,4070,57,64%,23%
3,"MSU MARAWI kiyo kiyo kayo_jan",115,30,329,1873,40,79%,17%
4,"Luna",107,63,325,1566,25,62%,20%
5,"ChangeYourName",118,80,378,2295,40,59%,16%
6,"cheese",57,31,154,2124,4,64%,7%
7,"NBI",27,2,52,213,5,93%,24%
8,"boy_chamba",32,9,96,603,8,78%,15%
9,"Brzrkr",80,63,285,3830,22,55%,7%
10,"Tellub",30,15,75,1129,8,66%,6%
11,"-JnDc-",22,9,65,685,5,70%,9%
12,"Monching",47,35,163,2107,12,57%,7%
13,"Burat",59,48,274,1662,13,55%,16%
14,"pol",42,32,201,1708,11,56%,11%
15,"LowEs",66,56,297,2242,23,54%,13%
